NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 02      , West Floor 02                          ,            60.200  ,   Sizing                         ,          4.01
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 03      , West Floor 03                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         64.24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 03      , West Floor 03                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         66.87
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 03      , West Floor 03                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         67.48
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 03      , West Floor 03                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         11.15
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 03      , West Floor 03                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         68.68
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 03      , West Floor 03                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 03      , West Floor 03                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 03      , West Floor 03                          ,            50.500  ,   AESS Steel                     ,           .24
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 03      , West Floor 03                          ,            50.800  ,   Stair Metal                    ,           .16
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 03      , West Floor 03                          ,            60.200  ,   Sizing                         ,          3.88
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 04      , West Floor 04                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,         62.61
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 04      , West Floor 04                          ,            21.120  ,   Walls - 2nd Coat Finish        ,         64.52
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 04      , West Floor 04                          ,            21.130  ,   Walls - 3rd Coat Finish        ,         67.13
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 04      , West Floor 04                          ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         10.29
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 04      , West Floor 04                          ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         56.01
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 04      , West Floor 04                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         15.00
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 04      , West Floor 04                          ,            34.110  ,   Trim - 1st Coat Prime          ,          6.67
NL:      193.19.3  ,  DEA HQ 19 BB & WLS                                 ,01, =    , 01, = ,   FL 04      , West Floor 04                          ,            50.500  ,   AESS Steel                     ,           .24
