NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST05       , Stair 1B2                              ,            21.120  ,   Walls - 2nd Coat Finish        ,          3.09
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST05       , Stair 1B2                              ,            21.130  ,   Walls - 3rd Coat Finish        ,          5.41
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST05       , Stair 1B2                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          5.96
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST05       , Stair 1B2                              ,            50.800  ,   Stair Metal                    ,         24.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST06       , Stair 1B2                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,          6.03
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST06       , Stair 1B2                              ,            21.120  ,   Walls - 2nd Coat Finish        ,          5.17
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST06       , Stair 1B2                              ,            21.130  ,   Walls - 3rd Coat Finish        ,          9.05
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST06       , Stair 1B2                              ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         15.61
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ST06       , Stair 1B2                              ,            50.800  ,   Stair Metal                    ,         32.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   ZR6        , Change Request 6                       ,            30.130  ,   Special Coating - Finish Coat  ,        120.00
