
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   PH01       , Penthouse                              ,            40.400  ,   Exterior Steel                 ,         31.60
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   PH01       , Penthouse                              ,            40.500  ,   Elastomeric Coating            ,       1218.23
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN02       , Floor 2 Units                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,        173.52
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN02       , Floor 2 Units                          ,            21.120  ,   Walls - 2nd Coat Finish        ,        134.64
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN02       , Floor 2 Units                          ,            21.130  ,   Walls - 3rd Coat Finish        ,        134.64
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN02       , Floor 2 Units                          ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        127.33
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN02       , Floor 2 Units                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        164.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN02       , Floor 2 Units                          ,            28.130  ,   Frames Only - 1st/2nd Coat     ,          5.20
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN02       , Floor 2 Units                          ,            34.110  ,   Trim - 1st Coat Prime          ,         83.20
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN02       , Floor 2 Units                          ,            34.120  ,   Trim - 2nd Coat Finish         ,         34.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN02       , Floor 2 Units                          ,            50.400  ,   Concrete Columns               ,         19.50
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN02       , Floor 2 Units                          ,            50.600  ,   Caulking Windows & Doors       ,         21.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN03       , Floor 3 Units                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,        133.48
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN03       , Floor 3 Units                          ,            21.120  ,   Walls - 2nd Coat Finish        ,        103.57
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN03       , Floor 3 Units                          ,            21.130  ,   Walls - 3rd Coat Finish        ,        103.57
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN03       , Floor 3 Units                          ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         97.94
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN03       , Floor 3 Units                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        126.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN03       , Floor 3 Units                          ,            28.130  ,   Frames Only - 1st/2nd Coat     ,          4.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN03       , Floor 3 Units                          ,            34.110  ,   Trim - 1st Coat Prime          ,         64.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN03       , Floor 3 Units                          ,            34.120  ,   Trim - 2nd Coat Finish         ,         26.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN03       , Floor 3 Units                          ,            50.400  ,   Concrete Columns               ,         15.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN03       , Floor 3 Units                          ,            50.600  ,   Caulking Windows & Doors       ,         16.67
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN04       , Floor 4 Units                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,        160.17
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN04       , Floor 4 Units                          ,            21.120  ,   Walls - 2nd Coat Finish        ,        124.29
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN04       , Floor 4 Units                          ,            21.130  ,   Walls - 3rd Coat Finish        ,        124.29
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN04       , Floor 4 Units                          ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,        117.53
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN04       , Floor 4 Units                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        152.00
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN04       , Floor 4 Units                          ,            28.130  ,   Frames Only - 1st/2nd Coat     ,          4.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN04       , Floor 4 Units                          ,            34.110  ,   Trim - 1st Coat Prime          ,         76.80
NL:      060.20.1  ,  Wharf Parcel 9                                     ,01, =    , 01, = ,   UN04       , Floor 4 Units                          ,            34.120  ,   Trim - 2nd Coat Finish         ,         32.00
