
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3249      , Building 3249                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3249      , Building 3249                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3249      , Building 3249                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3249      , Building 3249                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          1.50
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3249      , Building 3249                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3253      , Building 3253                          ,            20.110  ,   Walls/DW Ceiling - Prime       ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3253      , Building 3253                          ,            21.120  ,   Walls - 2nd Coat Finish        ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3253      , Building 3253                          ,            21.130  ,   Walls - 3rd Coat Finish        ,          5.07
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3253      , Building 3253                          ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,          1.50
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   B3253      , Building 3253                          ,            50.800  ,   Stair Metal                    ,         20.00
NL:      059.20.1  ,  Woodberry Village Apartments                       ,01, =    , 01, = ,   MISC       , ONE SIDE UNIT DR                       ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,        255.00
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         90.26
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         52.80
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         52.80
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          5.90
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         57.71
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         62.00
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            34.120  ,   Trim - 2nd Coat Finish         ,          5.60
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            34.130  ,   Trim - 3rd Coat Finish         ,          8.40

NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            50.900  ,   Elevator Door & Frame          ,         28.00
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL08       , Floor08                                ,            60.200  ,   Sizing                         ,          8.69
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,        101.48
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         82.23
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         82.23
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          5.94
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         29.60
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         54.00
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            34.120  ,   Trim - 2nd Coat Finish         ,          5.60
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            34.130  ,   Trim - 3rd Coat Finish         ,          8.40
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            50.900  ,   Elevator Door & Frame          ,         28.00
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   FL09       , Floor09                                ,            60.200  ,   Sizing                         ,          8.58
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   MISC       , Miscellaneous                          ,            50.600  ,   Caulking Windows & Doors       ,         32.00
NL:      072.20.3  ,  Wells Fargo 1700 K St.                             ,01, =    , 01, = ,   MISC       , Miscellaneous                          ,            50.800  ,   Stair Metal                    ,         16.00
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,              ,                                        ,            80.110  ,   Touch Up Allowance             ,         40.00
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL01       , Floor01                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         22.86
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL01       , Floor01                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         25.71
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL01       , Floor01                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         25.71
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL01       , Floor01                                ,            34.130  ,   Trim - 3rd Coat Finish         ,          8.85
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL02       , Walls 3rd                              ,            20.110  ,   Walls/DW Ceiling - Prime       ,         24.18
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL02       , Walls 3rd                              ,            21.120  ,   Walls - 2nd Coat Finish        ,         27.21
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL02       , Walls 3rd                              ,            21.130  ,   Walls - 3rd Coat Finish        ,         27.21
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL02       , Walls 3rd                              ,            34.130  ,   Trim - 3rd Coat Finish         ,         11.80
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         79.26
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         89.16
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         89.16
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            28.120  ,   Doors Only - 1st/2nd Coat      ,          2.00
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL03       , Floor 03                               ,            34.130  ,   Trim - 3rd Coat Finish         ,         25.65
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL04       , Floor 04                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         95.58
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.120  ,   Walls - 2nd Coat Finish        ,        107.53
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL04       , Floor 04                               ,            21.130  ,   Walls - 3rd Coat Finish        ,        107.53
NL:      084.20.1  ,  Salvation Army Phase 3 Reno                        ,01, =    , 01, = ,   FL04       , Floor 04                               ,            34.130  ,   Trim - 3rd Coat Finish         ,         23.55
