
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         24.50
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         80.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            34.120  ,   Trim - 2nd Coat Finish         ,         22.04
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            50.900  ,   Elevator Door & Frame          ,          4.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL01       , FLOOR 1                                ,            80.800  ,   Contingency - Original         ,         46.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL02       , FLOOR 2                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         28.40
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL02       , FLOOR 2                                ,            21.120  ,   Walls - 2nd Coat Finish        ,         22.99
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL02       , FLOOR 2                                ,            21.130  ,   Walls - 3rd Coat Finish        ,         22.99
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL02       , FLOOR 2                                ,            22.120  ,   DW Ceiling - 2nd & 3rd Finish  ,         11.67
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL02       , FLOOR 2                                ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.22
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL02       , FLOOR 2                                ,            34.120  ,   Trim - 2nd Coat Finish         ,         12.68
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL02       , FLOOR 2                                ,            50.900  ,   Elevator Door & Frame          ,          4.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL02       , FLOOR 2                                ,            80.800  ,   Contingency - Original         ,         46.00
NL:      030.21.1  ,  Parkside @ College Park II                         ,01, =    , 01, = ,   FL03       , FLOOR 3                                ,            20.110  ,   Walls/DW Ceiling - Prime       ,         30.76
